2021-12-27 13:22:19.603 [DEBU] [107 ms] [default] SHOW FULL COLUMNS FROM `s_task_group`
2021-12-27 13:22:19.636 [DEBU] [ 29 ms] [default] SELECT * FROM `s_task_group` WHERE city_id=33 and area_id=0 and add_date='2021-12-26' order by id desc LIMIT 1
2021-12-27 13:22:23.292 [DEBU] [3656 ms] [default] SELECT n.presell_id,m.hash_id,n.presell_hash_id,m.promotion_name,n.presell_name,m.info house_info,n.info presell_info FROM house m,presell n where m.hash_id=n.hash_id and m.city_id=33 and n.presell_name is not null || n.presell_name ='' ORDER BY n.presell_id ASC
2021-12-27 13:26:19.675 [DEBU] [239 ms] [default] SHOW FULL COLUMNS FROM `s_task_group`
2021-12-27 13:26:19.702 [DEBU] [ 26 ms] [default] SELECT * FROM `s_task_group` WHERE city_id=33 and area_id=0 and add_date='2021-12-26' order by id desc LIMIT 1
2021-12-27 13:26:24.258 [DEBU] [4555 ms] [default] SELECT n.presell_id,m.hash_id,n.presell_hash_id,m.promotion_name,n.presell_name,m.info house_info,n.info presell_info FROM house m,presell n where m.hash_id=n.hash_id and m.city_id=33 and n.presell_name is not null || n.presell_name ='' ORDER BY n.presell_id ASC
2021-12-27 13:28:17.528 [DEBU] [ 43 ms] [default] SHOW FULL COLUMNS FROM `s_task_group`
2021-12-27 13:28:17.554 [DEBU] [ 22 ms] [default] SELECT * FROM `s_task_group` WHERE city_id=33 and area_id=0 and add_date='2021-12-26' order by id desc LIMIT 1
2021-12-27 13:28:17.567 [DEBU] [ 12 ms] [default] SELECT n.presell_id,m.hash_id,n.presell_hash_id,m.promotion_name,n.presell_name,m.info house_info,n.info presell_info FROM house m,presell n where m.hash_id=n.hash_id and m.city_id=33 and n.presell_name is not null AND n.presell_name ='' ORDER BY n.presell_id ASC
2021-12-27 13:28:18.028 [DEBU] [ 19 ms] [default] SHOW FULL COLUMNS FROM `presell`
2021-12-27 13:28:18.048 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00175号' WHERE presell_id=0
2021-12-27 13:28:18.050 [DEBU] [ 40 ms] [default] SHOW FULL COLUMNS FROM `presell`
2021-12-27 13:28:18.072 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00174号' WHERE presell_id=0
2021-12-27 13:28:18.126 [DEBU] [ 18 ms] [default] UPDATE `presell` SET `presell_name`='景售许字（2021）第ZJ00172号' WHERE presell_id=0
2021-12-27 13:28:18.181 [DEBU] [ 25 ms] [default] UPDATE `presell` SET `presell_name`='景售许字（2021）第ZJ00173号' WHERE presell_id=0
2021-12-27 13:28:18.236 [DEBU] [ 33 ms] [default] UPDATE `presell` SET `presell_name`='景售许字（2021）第ZJ00171号' WHERE presell_id=0
2021-12-27 13:28:18.372 [DEBU] [ 28 ms] [default] UPDATE `presell` SET `presell_name`='莲售许字（2021）第ZJ00169号' WHERE presell_id=0
2021-12-27 13:28:18.461 [DEBU] [ 26 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00170号' WHERE presell_id=0
2021-12-27 13:28:18.473 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00168号' WHERE presell_id=0
2021-12-27 13:28:18.595 [DEBU] [ 32 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00167号' WHERE presell_id=0
2021-12-27 13:28:18.653 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='云售许字（2021）第ZJ00150号' WHERE presell_id=0
2021-12-27 13:28:18.697 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='庆售许字（2021）第ZJ00166号' WHERE presell_id=0
2021-12-27 13:28:18.729 [DEBU] [ 22 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00165号' WHERE presell_id=0
2021-12-27 13:28:18.753 [DEBU] [ 18 ms] [default] UPDATE `presell` SET `presell_name`='青售备字（2021）第ZJ00005号' WHERE presell_id=0
2021-12-27 13:28:18.872 [DEBU] [ 24 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00149号' WHERE presell_id=0
2021-12-27 13:28:18.948 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='莲售许字（2021）第ZJ00164号' WHERE presell_id=0
2021-12-27 13:28:19.008 [DEBU] [ 29 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00163号' WHERE presell_id=0
2021-12-27 13:28:19.049 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00148号' WHERE presell_id=0
2021-12-27 13:28:19.302 [DEBU] [148 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00161号' WHERE presell_id=0
2021-12-27 13:28:19.307 [DEBU] [ 23 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00162号' WHERE presell_id=0
2021-12-27 13:28:19.506 [DEBU] [ 79 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00160号' WHERE presell_id=0
2021-12-27 13:28:19.524 [DEBU] [ 47 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00147号' WHERE presell_id=0
2021-12-27 13:28:19.645 [DEBU] [ 31 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00159号' WHERE presell_id=0
2021-12-27 13:28:19.895 [DEBU] [ 49 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00146号' WHERE presell_id=0
2021-12-27 13:28:19.898 [DEBU] [ 51 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00158号' WHERE presell_id=0
2021-12-27 13:28:19.958 [DEBU] [ 26 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00157号' WHERE presell_id=0
2021-12-27 13:28:19.987 [DEBU] [ 25 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00145号' WHERE presell_id=0
2021-12-27 13:28:20.027 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00156号' WHERE presell_id=0
2021-12-27 13:28:20.074 [DEBU] [ 46 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00144号' WHERE presell_id=0
2021-12-27 13:28:20.176 [DEBU] [ 32 ms] [default] UPDATE `presell` SET `presell_name`='云售许字（2021）第ZJ00155号' WHERE presell_id=0
2021-12-27 13:28:20.181 [DEBU] [ 33 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00142号' WHERE presell_id=0
2021-12-27 13:28:20.421 [DEBU] [195 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00153号' WHERE presell_id=0
2021-12-27 13:28:20.526 [DEBU] [283 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00154号' WHERE presell_id=0
2021-12-27 13:28:20.806 [DEBU] [186 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00141号' WHERE presell_id=0
2021-12-27 13:28:20.833 [DEBU] [116 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00152号' WHERE presell_id=0
2021-12-27 13:28:20.892 [DEBU] [ 43 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00140号' WHERE presell_id=0
2021-12-27 13:28:20.913 [DEBU] [ 43 ms] [default] UPDATE `presell` SET `presell_name`='庆售许字（2021）第ZJ00151号' WHERE presell_id=0
2021-12-27 13:28:20.957 [DEBU] [ 22 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00139号' WHERE presell_id=0
2021-12-27 13:28:20.979 [DEBU] [ 23 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00138号' WHERE presell_id=0
2021-12-27 13:28:21.050 [DEBU] [ 23 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00136号' WHERE presell_id=0
2021-12-27 13:28:21.066 [DEBU] [ 25 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00135号' WHERE presell_id=0
2021-12-27 13:28:21.100 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='莲售许字（2021）第ZJ00134号' WHERE presell_id=0
2021-12-27 13:28:21.127 [DEBU] [ 24 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00133号' WHERE presell_id=0
2021-12-27 13:28:21.153 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00132号' WHERE presell_id=0
